num_index,name,
48,amen corner,accomack county
187,belle haven va,accomack county
305,bloxom virginia,accomack county
662,cashville,accomack county
663,cashville usa,accomack county
890,chincoteague island va,accomack county
891,chincoteague island virginia,accomack county
892,chincoteague va,accomack county
4112,oak hall va,accomack county
4204,onancock va,accomack county
4205,onancock virginia usa,accomack county
4288,painter va,accomack county
4982,saxis va,accomack county
123,barracks,albemarle county
896,cho,albemarle county
1114,crozet va,albemarle county
1115,crozet virginia,albemarle county
1482,earlysville va,albemarle county
2775,keswick virginia usa,albemarle county
3542,monticello va,albemarle county
4994,scottsville va,albemarle county
4995,scottsville va usa,albemarle county
4996,scottsville virginia,albemarle county
5922,university virginia law school,albemarle county
6404,white hall virginia usa,albemarle county
149,beautiful charlottesville va,albemarle county
24,albemarle county va,albemarle county
25,albemarle county virginia,albemarle county
774,charlotesville va,albemarle county
29,alexandria,alexandria city
30,alexandria va,alexandria city
31,alexandria va and vermont,alexandria city
32,alexandria va boston ma,alexandria city
33,alexandria va dc,alexandria city
34,alexandria va hwy expat,alexandria city
35,alexandria va new delhi and waddledah,alexandria city
36,alexandria va potomac md,alexandria city
37,alexandria va us,alexandria city
38,alexandria va usa,alexandria city
39,alexandria vausa,alexandria city
40,alexandria virginia,alexandria city
41,alexandria virginia usa,alexandria city
42,alexandriava,alexandria city
43,alexandriavirginia,alexandria city
920,city of alexandria va,alexandria city
4174,old town alexandria va,alexandria city
4175,old town alexandria virginia,alexandria city
962,clifton forge va,alleghany county
2628,iron gate va,alleghany county
45,amelia va,amelia county
46,amelia virginia,amelia county
47,ameliava,amelia county
51,amherst county va,amherst county
52,amherst va,amherst county
53,amherst virginia,amherst county
3159,madison heights va,amherst county
3517,monroe va,amherst county
5555,sweet briar va,amherst county
64,appomattox,appomattox county
65,appomattox va,appomattox county
66,appomattox virginia,appomattox county
4297,pamplin va,appomattox county
5360,spout spring va,appomattox county
69,arlandria,arlington county
70,arlington dc,arlington county
71,arlington national cemetery,arlington county
72,arlington va,arlington county
73,arlington va and towson md,arlington county
74,arlington va ballston,arlington county
75,arlington va united states,arlington county
76,arlington va usa,arlington county
77,arlington va washington dc,arlington county
78,arlington virginia,arlington county
79,arlington virginia usa,arlington county
80,arlingtonva,arlington county
323,bluemont arlington,arlington county
426,brittany,arlington county
932,clarendon arlington va,arlington county
933,clarendon va,arlington county
1091,court house,arlington county
1296,del ray alexandria va,arlington county
1879,fort myer virginia,arlington county
2496,hq arlington va,arlington county
3282,marymount university,arlington county
4862,rosslyn va,arlington county
4863,rosslyn virginia,arlington county
100,augusta county va,augusta county
1096,craigsville va,augusta county
1795,fishersville va,augusta county
1862,fort defiance va,augusta county
3112,love virginia,augusta county
3149,lyndhurst va,augusta county
5488,stuarts draft va,augusta county
6039,verona va,augusta county
6310,west augusta va,augusta county
2482,hot springs va,bath county
162,bedford county va,bedford county
165,bedford va,bedford county
166,bedford virginia,bedford county
233,bethel park,bedford county
257,big island,bedford county
258,big island virginia,bedford county
1846,forest va,bedford county
2103,goode va,bedford county
2289,hardy va,bedford county
3503,moneta va,bedford county
3549,montvale va,bedford county
721,ceres va,bland county
316,blue ridge va,botetourt county
371,botetourt va,botetourt county
465,buchanan va,botetourt county
1079,cornelius,botetourt county
1159,daleville va,botetourt county
1788,fincastle va,botetourt county
1789,fincastle virginia,botetourt county
5831,troutville va,botetourt county
414,bristol south wales,bristol city
417,bristol tnva,bristol city
418,bristol va,bristol city
419,bristol virginia,bristol city
420,bristol virginia usa,bristol city
421,bristolva,bristol city
5806,tri cities,bristol city
5820,tricities,bristol city
26,alberta va,brunswick county
1994,gasburg va,brunswick county
2934,lawrenceville va,brunswick county
1087,council va,buchanan county
2211,grundy va,buchanan county
2529,hurley va,buchanan county
4127,oakwood virginia,buchanan county
3779,new canton va,buckingham county
44,altavista va,campbell county
450,brookneal va,campbell county
1057,concord va,campbell county
1058,concord virginia,campbell county
4892,rustburg virginia,campbell county
6103,virginialong island,campbell county
4893,rustburgva,campbell county
90,athens,caroline county
629,caroline county virginia,caroline county
1322,delos,caroline county
3461,milford va,caroline county
4895,ruther glen,caroline county
4896,ruther glen va,caroline county
4897,ruther glen virginia,caroline county
569,cana va,carroll county
570,cana virginia,carroll county
639,carroll county va,carroll county
1736,fancy gap,carroll county
1737,fancy gap va,carroll county
2422,hillsville virginia,carroll county
754,charles city county va,charles city county
755,charles city virginia,charles city county
773,charlit,charles city county
775,charlotte,charlotte county
780,charlotte court house va,charlotte county
1772,fearstown virginia,charlotte county
799,charlottesville,charlottesville city
800,charlottesville usa,charlottesville city
801,charlottesville va,charlottesville city
802,charlottesville va us,charlottesville city
803,charlottesville va usa,charlottesville city
804,charlottesville virginia,charlottesville city
805,charlottesville virginia usa,charlottesville city
806,charlottesvilleva,charlottesville city
807,charlotttesville va,charlottesville city
1144,cville,charlottesville city
1145,cville va,charlottesville city
5920,university of virginia,charlottesville city
191,bellwood va,chesterfield county
342,bon air va,chesterfield county
343,bon air virginia,chesterfield county
574,canc,chesterfield county
646,carver homes,chesterfield county
667,cat island,chesterfield county
849,chester va,chesterfield county
850,chester virginia,chesterfield county
852,chesterfield county va,chesterfield county
853,chesterfield county virginia,chesterfield county
854,chesterfield court house va,chesterfield county
856,chesterfield va,chesterfield county
857,chesterfield va usa,chesterfield county
858,chesterfield virginia,chesterfield county
859,chesterfieldva,chesterfield county
862,chesterva,chesterfield county
1667,ettrick va,chesterfield county
2503,hundred,chesterfield county
3293,matoaca va,chesterfield county
3449,midlothian va,chesterfield county
3450,midlothian va usa,chesterfield county
3451,midlothian virginia,chesterfield county
3452,midlothian virginia usa,chesterfield county
3453,midlothianva,chesterfield county
3960,north chesterfield va,chesterfield county
3961,north chesterfield virginia,chesterfield county
5242,south chesterfield va,chesterfield county
6092,virginia state university,chesterfield county
6503,winterpock va,chesterfield county
222,berryville va,clarke county
223,berryville virginia,clarke county
381,boyce va,clarke county
382,boyce virginia,clarke county
1023,colonial heights,colonial heights city
1024,colonial heights va,colonial heights city
1025,colonial heights virginia,colonial heights city
609,captain,craig county
3783,new castle va,craig county
1127,culpeper,culpeper county
1128,culpeper va,culpeper county
1129,culpeper virginia,culpeper county
1130,culpeper virginia usa,culpeper county
5276,south wales,culpeper county
1131,cumberland,cumberland county
1136,cumberland va,cumberland county
1172,danville va,danville city
1173,danville va usa,danville city
1174,danville virginia,danville city
1175,danvilleva,danville city
92,atlanta ga washington dc,exclude
93,atlanta university center,exclude
94,atlantadc,exclude
98,atldc,exclude
99,atlva,exclude
303,blowing rock,dickenson county
973,clintwood va,dickenson county
643,carson va,dinwiddie county
1356,dinwiddie,dinwiddie county
1357,dinwiddie va,dinwiddie county
1358,dinwiddieva,dinwiddie county
5542,sutherland virginia,dinwiddie county
1586,elizabeth city,exclude
1635,emporia va,emporia city
1654,essex,essex county
5579,tappahannock,essex county
5580,tappahannock va,essex county
5581,tappahannock virginia,essex county
10,adelina,exclude
12,adw,exclude
14,agustd,exclude
15,ahoskie nc,exclude
16,aimée lauren atelier,exclude
17,ajmer rajasthan,exclude
18,akohwv,exclude
19,alamance county nc,exclude
20,alamance county north carolina,exclude
21,alamance nc,exclude
22,alaska usa,exclude
23,albany oh,exclude
68,ari,exclude
91,atl ctc,exclude
95,atlantic beach nc,exclude
96,atlantic ocean,exclude
102,autryville nc,exclude
103,ayers rock,exclude
104,azure,exclude
105,azva,exclude
106,båstad sverige,exclude
107,ba sing se,exclude
109,back east,exclude
110,back east usa,exclude
111,backwoods,exclude
112,bad newz va,exclude
113,bad street usa,exclude
